"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2880,223,"TWN","Taiwan",1,"Kaohsiung","","Gaoxiong","Chuan-shih","Special Municipality"
2881,223,"TWN","Taiwan",2,"Pratas Islands","","Dongsha Islands","",""
2882,223,"TWN","Taiwan",3,"Taipei","","Taibei|Taipé|Taipeh","Chuan-shih","Special Municipality"
2883,223,"TWN","Taiwan",4,"Taiwan","","","Province","Province"
